46.30.46.114:2053#NL [154.35ms | 0.0Mbps]
178.173.252.233:443#NL [154.97ms | 0.0Mbps]
178.208.66.185:8443#NL [155.83ms | 0.0Mbps]
178.173.255.130:443#NL [159.71ms | 0.0Mbps]
185.246.155.198:443#NL [161.05ms | 0.0Mbps]
185.36.143.223:443#NL [161.89ms | 0.0Mbps]
185.36.143.76:8443#NL [162.82ms | 0.0Mbps]
178.173.254.18:443#NL [164.25ms | 0.0Mbps]
91.221.190.80:443#NL [164.56ms | 0.0Mbps]
81.29.149.219:8443#NO [1283.7ms | 0.0Mbps]
185.253.44.97:443#PL [187.58ms | 0.0Mbps]
185.151.246.245:443#PL [189.38ms | 0.0Mbps]
146.59.18.201:443#PL [193.88ms | 0.0Mbps]
82.118.20.91:443#PL [195.86ms | 0.0Mbps]
95.156.204.82:8443#PL [197.14ms | 0.0Mbps]
188.255.163.120:443#PL [212.34ms | 0.0Mbps]
95.156.204.82:443#PL [215.17ms | 0.0Mbps]
51.83.167.125:443#PL [215.51ms | 0.0Mbps]
146.59.18.234:443#PL [216.16ms | 0.0Mbps]
188.137.178.174:8443#PL [219.98ms | 0.0Mbps]
185.138.89.45:2053#PT [258.95ms | 0.0Mbps]
85.120.229.131:443#RO [187.59ms | 0.0Mbps]
85.120.228.76:443#RO [199.36ms | 0.0Mbps]
185.39.30.18:8443#RO [225.37ms | 0.0Mbps]
154.43.62.76:443#RO [254.39ms | 0.0Mbps]
185.104.181.228:443#RO [282.72ms | 0.0Mbps]
185.225.17.223:443#RO [560.62ms | 0.0Mbps]
5.252.178.146:8443#RO [577.57ms | 0.0Mbps]
185.39.30.18:2087#RO [1204.7ms | 0.0Mbps]
185.105.108.92:8443#RS [282.01ms | 0.0Mbps]
89.46.236.145:443#RS [1225.14ms | 0.0Mbps]
147.45.147.212:2053#RU [194.84ms | 0.0Mbps]
147.45.147.212:8443#RU [201.15ms | 0.0Mbps]
95.46.1.22:8443#RU [201.96ms | 0.0Mbps]
178.208.156.194:2053#RU [211.96ms | 0.0Mbps]
91.107.127.99:2053#RU [219.13ms | 0.0Mbps]
95.143.181.238:443#RU [222.95ms | 0.0Mbps]
95.46.1.22:2053#RU [225.3ms | 0.0Mbps]
46.29.115.144:8443#RU [228.24ms | 0.0Mbps]
92.51.38.43:443#RU [228.73ms | 0.0Mbps]
185.137.235.254:443#RU [228.95ms | 0.0Mbps]
80.78.24.239:2053#SE [174.36ms | 0.0Mbps]
94.242.59.31:443#SE [178.51ms | 0.0Mbps]
94.242.59.190:443#SE [180.85ms | 0.0Mbps]
94.242.58.117:443#SE [182.37ms | 0.0Mbps]
80.78.26.205:8443#SE [184.54ms | 0.0Mbps]
